title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Bratz: Rock Angelz,GBA,Misc,THQ,Blitz Games,,0.54,0.39,,0.14,0.01,2005-01-01,
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,Capcom,Eighting,8.3,0.54,0.3,0.03,0.16,0.05,2010-01-26,
War of the Monsters,PS2,Fighting,Sony Computer Entertainment,Incognito Entertainment,,0.54,0.26,,0.2,0.07,2003-01-14,
Dragon Ball Z: Ultimate Tenkaichi,X360,Fighting,Namco Bandai,Spike,6,0.54,0.39,0.01,0.1,0.05,2011-10-25,
Def Jam: Fight for NY,XB,Fighting,Electronic Arts,Aki Corp.,,0.54,0.43,,0.1,0.02,2004-09-20,
Kidou Senshi Gundam: Extreme VS,PS3,Fighting,Bandai,Bandai Namco Games,,0.54,,0.54,,,2011-12-01,
Tactics Ogre: Let Us Cling Together,PSP,Role-Playing,Square Enix,Square Enix,9,0.54,0.15,0.27,0.07,0.05,2011-02-15,
Medarot 2: Kabuto / Kuwagata Version,GB,Role-Playing,Imagineer,Natsume,,0.54,,0.54,,0,1999-07-23,
METRO 2033,X360,Shooter,THQ,4a-games,7.4,0.54,0.22,0.03,0.23,0.05,2010-03-16,
Time Crisis: Razing Storm,PS3,Shooter,Namco Bandai,Nex Entertainment,5.8,0.54,0.18,0.07,0.21,0.08,2010-10-19,
Just Dance 2015,XOne,Music,Ubisoft,Ubisoft Paris,8.1,0.54,0.36,,0.13,0.05,2014-10-21,2018-04-03
Sacred 2: Fallen Angel,X360,Role-Playing,CDV Software Entertainment,Ascaron Entertainment,7,0.54,0.29,0.04,0.16,0.05,2009-05-11,
Dragon Ball: Fusions,3DS,Role-Playing,Namco Bandai Games,Ganbarion,6.3,0.54,0.17,0.24,0.09,0.03,2016-11-22,2018-01-14
ESPN NBA Basketball,PS2,Sports,Sega,Visual Concepts,,0.54,0.26,,0.21,0.07,2003-10-21,
FIFA 18,PS3,Sports,EA Sports,EA Vancouver,,0.54,0.06,0.01,0.4,0.08,2017-09-29,2018-04-02
FIFA 99,N64,Sports,EA Sports,EA Canada,,0.54,0.11,,0.39,0.03,1998-11-30,
Mario Tennis Ultra Smash,WiiU,Sports,Nintendo,Camelot Software Planning,6.1,0.54,0.16,0.15,0.2,0.03,2015-11-20,2018-03-21
SingStar Summer Party,PS2,Misc,Sony Computer Entertainment,SCEE London Studio,,0.54,,,0.06,0.48,2008-04-25,
Are You Smarter than a 5th Grader? Make the Grade,Wii,Misc,THQ,THQ,,0.54,0.5,,,0.04,2008-10-20,
Let's Draw!,DS,Misc,Majesco,Agatsuma Entertainment,,0.54,0.24,,0.24,0.06,2010-03-16,
Mat Hoffman's Pro BMX,PS,Sports,Activision,Shaba Games,,0.54,0.3,,0.2,0.04,2001-05-14,
Tiger Woods PGA Tour 08,X360,Sports,Electronic Arts,EA Tiburon,,0.54,0.49,,0.02,0.04,2007-08-28,
Tiger Woods PGA Tour 11,Wii,Sports,EA Sports,EA Tiburon,8.3,0.54,0.23,,0.26,0.05,2010-06-08,
NBA Live 10,PS3,Sports,EA Sports,EA Canada,7.9,0.54,0.46,0.01,0.03,0.05,2009-10-06,
Summer Sports: Paradise Island,Wii,Sports,Destineer,Digital Embryo,,0.54,0.48,,0.02,0.04,2008-04-15,
World Soccer Winning Eleven 7 International (JP version),PS2,Sports,Konami,Konami Computer Entertainment Tokyo,,0.54,,0.54,,,2004-02-19,
F.E.A.R.,PS3,Shooter,Vivendi Games,Day 1 Studios,,0.54,0.18,,0.27,0.09,2007-04-24,
Action Force,2600,Action,CPG Products,Parker Bros.,,0.54,0.5,,0.03,0.01,1983-01-01,
Gauntlet Legends,N64,Action,Midway Games,Atari Games,6,0.54,0.43,,0.1,0.01,1999-08-31,
The Hobbit,PS2,Adventure,Sierra Entertainment,Midway Studios - Austin,,0.54,0.26,,0.2,0.07,2003-11-11,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,Sports,Square,SquareSoft,,0.54,,0.54,,,2000-09-07,
Assassin's Creed II,PC,Action,Ubisoft,Ubisoft Montreal,8.5,0.54,0.01,,0.45,0.07,2010-03-09,
Phineas and Ferb: Across the 2nd Dimension,DS,Action,Disney Interactive Studios,Altron,,0.54,0.31,,0.18,0.05,2011-08-02,
Hotel Dusk: Room 215,DS,Adventure,Nintendo,Cing,8,0.54,0.26,0.22,0.04,0.03,2007-01-22,
Monster High: Ghoul Spirit,Wii,Adventure,THQ,THQ,,0.54,0.42,,0.08,0.04,2011-10-25,
Bulletstorm,PS3,Shooter,Electronic Arts,People Can Fly,8.4,0.54,0.24,0.01,0.2,0.09,2011-02-22,
Dance Dance Revolution Ultramix,XB,Simulation,Konami,Konami Computer Entertainment Hawaii,,0.54,0.42,,0.11,0.02,2003-11-20,
Manhunt 2,Wii,Action,Rockstar Games,Rockstar Toronto,5.8,0.54,0.25,,0.23,0.06,2007-10-29,
Harry Potter and the Deathly Hallows - Part 1,Wii,Action,Electronic Arts,EA Bright Light,,0.54,0.22,,0.27,0.05,2010-11-09,
The Incredible Hulk: Ultimate Destruction,PS2,Action,VU Games,Radical Entertainment,,0.54,0.26,,0.2,0.07,2005-08-23,
Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,Omega Force,6.5,0.54,0.11,0.36,0.05,0.02,2011-06-28,
Iron Man,PS2,Action,Sega,Artificial Mind and Movement,,0.54,0.36,,0,0.19,2008-05-02,
Enslaved: Odyssey to the West,X360,Action,Namco Bandai,Ninja Theory,8,0.54,0.3,0,0.19,0.05,2010-10-05,
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,Racing,Activision,Eutechnyx,,0.54,0.07,,0.4,0.07,2008-08-26,
ModNation Racers,PSP,Racing,Sony Computer Entertainment,SCE San Diego Studio,7.7,0.54,0.11,0.02,0.27,0.14,2010-05-25,2018-02-03
Crash Tag Team Racing,PS2,Racing,VU Games,Radical Entertainment,,0.54,0.27,,0.21,0.07,2005-10-19,
Petz Nursery,DS,Simulation,Ubisoft,Ubi Nagoya,,0.54,0.5,,0,0.04,2009-11-10,
NBA Street Vol. 2,GC,Sports,EA Sports BIG,EA Canada,8.8,0.54,0.41,,0.11,0.01,2003-04-28,
SSX Tricky,GC,Sports,EA Sports BIG,EA Canada,8.4,0.54,0.42,,0.11,0.01,2001-12-02,
NHL 14,X360,Sports,EA Sports,EA Canada,,0.54,0.4,,0.09,0.05,2013-09-10,2018-09-23
FIFA 07 Soccer,XB,Sports,EA Sports,EA Canada,8.1,0.54,0.16,,0.35,0.04,2006-10-03,
Over the Hedge,PS2,Platform,Activision,Edge of Reality,6.5,0.54,0.45,,0.02,0.07,2006-05-09,
Popeye,2600,Platform,Parker Bros.,Parker Bros.,,0.54,0.5,,0.03,0.01,1983-01-01,
The SpongeBob SquarePants Movie,XB,Platform,THQ,Heavy Iron Studios,6.8,0.54,0.4,,0.12,0.02,2004-10-27,
The Fairly Odd Parents: Breakin' Da Rules,GBA,Platform,THQ,Helixe,,0.54,0.39,,0.14,0.01,2003-11-03,
Bust A Groove,PS,Misc,989 Studios,Metro,7.7,0.54,0.09,0.35,0.06,0.04,1998-10-31,
Pachi-Slot Aruze Oukoku 2,PS,Misc,Aruze Corp,Aruze Corp,,0.54,,0.5,,0.04,1999-11-25,
Tales of Symphonia Chronicles,PS3,Misc,Namco Bandai Games,Namco,,0.54,0.21,0.13,0.13,0.07,2014-02-25,2018-04-07
50 Classic Games,DS,Misc,Destineer,cerasus.media GmbH,,0.54,0.5,,,0.04,2009-07-21,
The Sims 3: Pets,PC,Simulation,Electronic Arts,The Sims Studio,7.5,0.54,0.54,,0,,2011-10-18,
The Walking Dead: Survival Instinct,PS3,Shooter,Activision,Terminal Reality,,0.54,0.28,,0.17,0.09,2013-03-19,2018-01-16
Greg Hastings' Tournament Paintball,XB,Shooter,Activision,WXP,,0.54,0.46,,0.06,0.02,2004-11-16,
Mega Man Battle Network 2,GBA,Role-Playing,Capcom,Capcom,,0.54,,0.54,,,2002-06-17,
Valkyria Chronicles II,PSP,Role-Playing,Sega,Sega WOW Overworks,8.1,0.54,0.12,0.18,0.16,0.09,2010-08-31,
Two Worlds II,X360,Role-Playing,SouthPeak Interactive,Reality Pump,6.5,0.54,0.4,0.03,0.07,0.04,2011-01-25,
SRS: Street Racing Syndicate,PS2,Racing,Namco,Eutechnyx,,0.54,0.26,,0.21,0.07,2004-08-31,
Fire Emblem: Path of Radiance,GC,Role-Playing,Nintendo,Intelligent Systems,8.6,0.54,0.29,0.16,0.08,0.01,2005-10-17,
Virtual Soccer,SNES,Sports,Hudson Soft,Probe Entertainment Limited,,0.53,,0.53,,0,1994-01-01,
Magician's Quest: Mysterious Times,DS,Role-Playing,Konami,Konami,,0.53,0.04,0.48,0.01,0,2009-05-11,
X-Men Legends,GC,Role-Playing,Activision,Raven Software,8.6,0.53,0.41,,0.11,0.01,2004-09-21,
Terminator Salvation,PS3,Shooter,Warner Bros. Interactive,GRIN,5,0.53,0.13,0.01,0.29,0.1,2009-05-19,
Star Fox Command,DS,Shooter,Nintendo,Nintendo EAD / Q-Games,7.2,0.53,0.38,0.1,0.01,0.04,2006-08-28,
FIFA Soccer 12,PSP,Sports,EA Sports,EA Canada,,0.53,0.12,0.02,0.26,0.13,2011-09-27,
Time Crisis II,PS2,Shooter,Namco,Namco,,0.53,0.26,,0.2,0.07,2001-10-01,
Unit 13,PSV,Shooter,Sony Computer Entertainment,Zipper Interactive,,0.53,0.25,0.04,0.15,0.09,2012-03-06,2019-07-16
Conflict: Vietnam,PS2,Shooter,Global Star Software,Pivotal Games,,0.53,0.26,,0.2,0.07,2004-10-05,
Jampack Volume 11,PS2,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,,0.53,0.26,,0.2,0.07,2004-10-22,
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,Misc,Majesco,Majesco Games,,0.53,0.38,,0.14,0.01,2004-05-14,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Misc,Sega,Sega,,0.53,0.4,,0.11,0.02,2005-01-01,
NASCAR 09,PS2,Racing,EA Sports,EA Tiburon,,0.53,0.26,,0.2,0.07,2008-06-10,
Excite Truck,Wii,Racing,Nintendo,Monster Games Inc.,7,0.53,0.39,0.08,0.03,0.04,2006-11-19,
Gex 3: Deep Cover Gecko,PS,Platform,Eidos Interactive,Crystal Dynamics,,0.53,0.3,,0.2,0.03,1999-03-01,
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,Platform,Electronic Arts,Krome Studios,7.3,0.53,0.26,,0.2,0.07,2004-10-12,
NCAA March Madness 06,PS2,Sports,EA Sports,EA Canada,,0.53,0.45,,0.02,0.07,2005-10-11,
NCAA March Madness 2005,PS2,Sports,EA Sports,EA Canada,,0.53,0.44,,0.02,0.07,2004-11-17,
Sonic & Sega All-Stars Racing Transformed,WiiU,Racing,Sega,Sumo Digital,6.9,0.53,0.19,0.02,0.28,0.04,2012-11-18,2020-09-14
F1 2018,PS4,Racing,Codemasters,Codemasters Birmingham,8.9,0.53,0.05,0.01,0.39,0.08,2018-08-24,2018-09-26
Juiced,PS2,Racing,THQ,Juice Games,,0.53,0.26,,0.2,0.07,2005-06-13,
F1 2009,PSP,Racing,Codemasters,Sumo Digital,7.4,0.53,0.08,,0.29,0.16,2009-11-17,
NASCAR 2000,N64,Racing,EA Sports,Stormfront Studios,,0.53,0.49,,0.03,0,1999-09-30,
007 Racing,PS,Racing,Electronic Arts,Eutechnyx,6.1,0.53,0.3,,0.2,0.03,2000-11-20,
Oni,PS2,Action,Rockstar Games,Rockstar Toronto,,0.53,0.26,,0.2,0.07,2001-01-29,
LEGO The Incredibles,PS4,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.53,0.18,,0.27,0.09,2018-06-15,2018-11-06
Burnout Revenge,XB,Action,Electronic Arts,Criterion Games,,0.53,0.32,,0.19,0.01,2005-09-13,
The Lord of the Rings: The Fellowship of the Ring,XB,Action,Black Label Games,WXP,,0.53,0.31,,0.19,0.03,2002-09-26,
How to Train Your Dragon,DS,Action,Activision,Griptonite Games,,0.53,0.31,,0.17,0.05,2010-03-23,
Pachi-Slot Aruze Oukoku 4,PS,Misc,Aruze Corp,Aruze Corp,,0.53,,0.49,,0.03,2000-12-14,
Jampack Vol. 2,PS,Misc,Sony Computer Entertainment,Sony Computer Entertainment America,,0.53,0.3,,0.2,0.03,1997-01-01,
Michael Jackson: The Experience,PS3,Misc,Ubisoft,Ubisoft Montreal,,0.53,0.25,0,0.19,0.09,2011-04-12,
Are You Smarter than a 5th Grader?,DS,Misc,THQ,ValuSoft,,0.53,0.48,,0,0.04,2007-11-12,
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,Adventure,Sega,Sega,,0.53,,0.53,,0,1998-04-04,
Clock Tower,PS,Adventure,ASCII Entertainment,Human Entertainment,6.1,0.53,0.07,0.38,0.05,0.03,1997-09-30,
Legacy of Kain: Defiance,PS2,Adventure,Eidos Interactive,Crystal Dynamics,,0.53,0.26,,0.2,0.07,2003-11-11,
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,Capcom,7.6,0.53,0.21,0.26,0.04,0.03,2007-01-16,
Medal of Honor: European Assault,XB,Shooter,Electronic Arts,EA Los Angeles,,0.53,0.32,,0.19,0.02,2005-06-07,
MLB SlugFest 20-04,PS2,Sports,Midway Games,Criterion Games,,0.53,0.26,,0.2,0.07,2003-03-16,
Harry Potter and the Half-Blood Prince,PSP,Action,Electronic Arts,Bright Light Productions,,0.53,0.19,,0.21,0.13,2009-06-30,
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,Action,THQ,Incinerator Studios,,0.53,0.49,,0,0.04,2008-10-20,
The Lord of the Rings: The Two Towers,GC,Action,Electronic Arts,Stormfront Studios,,0.53,0.41,,0.11,0.01,2002-12-30,
The Warriors,PS2,Action,Rockstar Games,Rockstar Toronto,,0.53,0.44,,0.02,0.07,2005-10-17,
Disney Infinity 3.0,X360,Action,Disney Interactive Studios,Avalanche Software,,0.53,0.3,,0.19,0.05,2015-08-30,2018-03-20
G-Force,DS,Action,Disney Interactive Studios,Keen Games,7,0.53,0.26,,0.22,0.05,2009-07-21,
Peter Jackson's King Kong: The Official Game of the Movie,XB,Action,Ubisoft,Ubisoft Montpellier,,0.53,0.34,,0.17,0.02,2005-11-21,
Madden NFL 07,PS3,Sports,EA Sports,EA Tiburon,8,0.53,0.48,0.01,,0.04,2006-11-14,
J-League Soccer: Prime Goal 2,SNES,Sports,Namco,Namco,,0.53,,0.53,,,1994-08-05,
Wayne Gretzky's 3D Hockey,N64,Sports,Midway Games,William's Entertainment,8.1,0.53,0.49,,0.03,0,1996-11-11,
Hello Kitty: Big City Dreams,DS,Puzzle,Empire Interactive,"Human Soft, Inc.",,0.53,0.42,,0.07,0.04,2008-11-17,
Jewel Master Egypt,DS,Puzzle,Storm City Games,Storm City Games,,0.53,0.21,,0.27,0.05,2009-11-03,
Romance of the Three Kingdoms IV: Wall of Fire,SNES,Strategy,KOEI,Koei / Inis,,0.53,,0.53,,,1995-01-13,
Rune Factory: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,8.1,0.53,0.35,0.14,0.01,0.03,2007-08-14,
Winning Post,SNES,Sports,KOEI,Koei,,0.53,,0.53,,,1993-09-10,
Dragon Age: Inquisition,X360,Role-Playing,Electronic Arts,BioWare Edmonton,,0.53,0.36,,0.12,0.05,2014-11-18,2019-01-05
Blitz: The League,XB,Sports,Midway Games,Midway Games,7.9,0.53,0.4,,0.11,0.02,2005-10-17,
NBA 06,PS2,Sports,Sony Computer Entertainment,SCE San Diego Studio,,0.53,0.26,,0.2,0.07,2005-11-01,2018-12-04
Spider-Man,N64,Action,Activision,Edge of Reality,,0.53,0.43,,0.09,0.01,2000-11-21,
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,Shooter,Ubisoft,High Voltage Software / Ubisoft Paris,6.5,0.53,0.35,,0.1,0.08,2007-08-23,
WWE SmackDown vs. Raw 2010,DS,Fighting,THQ,JAKKS Pacific,,0.53,0.35,,0.13,0.05,2009-10-20,
Inazuma Eleven,DS,Role-Playing,Nintendo,Level 5,6.8,0.53,,0.38,0.13,0.02,2011-08-26,
Return to Castle Wolfenstein: Operation Resurrection,PS2,Shooter,Activision,Raster Productions,,0.53,0.26,,0.2,0.07,2003-05-30,
Gun,XB,Shooter,Activision,Neversoft Entertainment,,0.52,0.38,,0.12,0.02,2005-11-08,
F.E.A.R. 2: Project Origin,X360,Shooter,Warner Bros. Interactive,Monolith Productions,7.9,0.52,0.32,0,0.15,0.05,2009-02-10,
Syphon Filter 3,PS,Shooter,Sony Computer Entertainment,SCEA Bend Studio,,0.52,0.29,,0.2,0.03,2001-11-05,
Alien: Isolation,XOne,Adventure,Sega,Creative Assembly,,0.52,0.23,,0.25,0.04,2014-10-07,2018-01-05
That's So Raven 2: Supernatural Style,GBA,Adventure,Buena Vista,A2M,,0.52,0.37,,0.14,0.01,2005-08-21,
Harry Potter and the Prisoner of Azkaban,GBA,Adventure,Electronic Arts,Griptonite Games,7,0.52,0.37,,0.14,0.01,2004-05-25,
NFL 2K3,XB,Sports,Sega,Visual Concepts,,0.52,0.38,,0.11,0.02,2002-08-12,
NBA Live 2002,PS,Sports,EA Sports,EA Canada,,0.52,0.29,,0.19,0.03,2001-10-30,
Final Fantasy Chronicles,PS,Role-Playing,Square,TOSE,9.2,0.52,0.29,,0.2,0.03,2001-06-29,
The 3rd Birthday,PSP,Role-Playing,Square Enix,HexaDrive,7,0.52,0.13,0.27,0.07,0.05,2011-03-29,
Metal Gear Solid 2: Substance,PS2,Action,Konami,Konami Computer Entertainment Japan,8.5,0.52,0.18,0.16,0.14,0.05,2003-03-03,
Naruto Shippuden: Ultimate Ninja Storm 3,X360,Fighting,Namco Bandai Games,CyberConnect2,,0.52,0.3,0.01,0.17,0.05,2013-03-05,2018-01-06
Fight Night Round 3,PSP,Fighting,EA Sports,EA Chicago,7.2,0.52,0.46,,0.02,0.04,2006-02-20,
Ready 2 Rumble Boxing: Round 2,PS,Fighting,Midway Games,Midway Games,6.5,0.52,0.29,,0.2,0.03,2000-11-09,
Rival Schools: United By Fate,PS,Fighting,Capcom,Capcom,,0.52,0.12,0.28,0.08,0.03,1998-09-30,
The Grinch,PS,Adventure,Konami,Artificial Mind and Movement,,0.52,0.29,,0.2,0.03,2000-01-01,
The Golden Compass,PS2,Adventure,Sega,Shiny Entertainment,,0.52,0.13,,0,0.39,2007-12-04,
Go Diego Go! Safari Rescue,Wii,Action,2K Play,Take-Two Interactive,,0.52,0.47,,0,0.04,2008-02-11,
Metal Gear Solid HD Collection,PS3,Action,Konami,Bluepoint Games,9.1,0.52,0.32,,0.13,0.07,2011-11-08,
J-League Pro Soccer Club o Tsukurou! 3,PS2,Sports,Sega,Smilebit,,0.52,,0.52,,,2003-06-05,
SSX On Tour,PS2,Sports,EA Sports BIG,EA Canada,,0.52,0.25,,0.2,0.07,2005-10-11,
Tony Hawk's Pro Skater 3,GBA,Sports,Activision,Vicarious Visions,,0.52,0.37,,0.14,0.01,2002-03-04,
Sesame Street: Once Upon A Monster,X360,Education,Warner Bros. Interactive,Double Fine Productions,8,0.52,0.39,,0.09,0.04,2011-10-11,2022-07-10
Seaman,DC,Simulation,Sega,VIVARIUM Inc.,8.1,0.52,,0.52,,,2000-08-09,
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,Simulation,Electronic Arts,EA Salt Lake,,0.52,0.49,,,0.03,2010-10-05,
We Cheer,Wii,Simulation,Namco Bandai,"Machatin, Inc.",,0.52,0.47,0,0,0.04,2008-09-30,
The Sims 2: Open for Business,PC,Simulation,Electronic Arts,Maxis,,0.52,0.46,,0.05,,2006-02-28,
FIFA 15,3DS,Sports,EA Sports,EA Canada,,0.52,0.09,,0.39,0.03,2014-09-23,2018-03-23
NCAA Football 2003,XB,Sports,EA Sports,EA Tiburon,,0.52,0.39,,0.11,0.02,2002-07-20,
