"customer_id","gender","age","city","signup_date","order_id","order_date","restaurant_name","dish_name","category","quantity","price","payment_method","order_frequency","last_order_date","loyalty_points","churned","rating","rating_date","delivery_status"
"C5663","Male","Adult","Peshawar","1/14/2024","O9663_1","10/15/2023","McDonald's","Sandwich","Italian",3,329.29,"Cash",38,"7/19/2025",238,"Active",2,"10/14/2024","Delivered"
"C5663","Male","Adult","Peshawar","1/14/2024","O9663_2","05/17/2024","Pizza Hut","Fries","Italian",4,1013.78,"Cash",38,"7/19/2025",238,"Active",3,"10/14/2024","Cancelled"
"C5663","Male","Adult","Peshawar","1/14/2024","O9663_3","03/09/2024","KFC","Sandwich","Italian",5,259.47,"Cash",38,"7/19/2025",238,"Active",4,"10/14/2024","Delivered"
"C2831","Male","Adult","Multan","7/7/2024","O6831_1","01/31/2024","Pizza Hut","Sandwich","Italian",2,420.63,"Wallet",24,"11/25/2024",81,"Active",5,"8/21/2025","Delayed"
"C2831","Male","Adult","Multan","7/7/2024","O6831_2","09/29/2023","Subway","Pasta","Italian",3,1128.28,"Wallet",24,"11/25/2024",81,"Active",3,"8/21/2025","Delayed"
"C2831","Male","Adult","Multan","7/7/2024","O6831_3","11/03/2022","Subway","Fries","Italian",4,1351.42,"Wallet",24,"11/25/2024",81,"Active",2,"8/21/2025","Cancelled"
"C2851","Other","Senior","Multan","6/20/2025","O6851_1","02/17/2024","KFC","Burger","Italian",3,881.29,"Cash",42,"5/10/2025",82,"Inactive",5,"9/19/2024","Cancelled"
"C2851","Other","Senior","Multan","6/20/2025","O6851_2","01/21/2023","McDonald's","Sandwich","Italian",4,628.24,"Cash",42,"5/10/2025",82,"Inactive",3,"9/19/2024","Delayed"
"C2851","Other","Senior","Multan","6/20/2025","O6851_3","07/16/2023","Subway","Burger","Italian",3,1447.73,"Cash",42,"5/10/2025",82,"Inactive",2,"9/19/2024","Cancelled"
"C2851","Other","Senior","Multan","6/20/2025","O6851_4","10/28/2023","Subway","Pasta","Italian",2,1223.27,"Cash",42,"5/10/2025",82,"Inactive",2,"9/19/2024","Delivered"
"C2851","Other","Senior","Multan","6/20/2025","O6851_5","12/23/2022","Subway","Pasta","Italian",4,363.66,"Cash",42,"5/10/2025",82,"Inactive",3,"9/19/2024","Cancelled"
"C1694","Female","Senior","Peshawar","9/5/2023","O5694_1","08/27/2023","McDonald's","Pasta","Dessert",1,746.15,"Card",27,"7/24/2025",45,"Inactive",3,"6/29/2025","Delivered"
"C1694","Female","Senior","Peshawar","9/5/2023","O5694_2","05/18/2023","McDonald's","Pasta","Dessert",4,163.18,"Card",27,"7/24/2025",45,"Inactive",4,"6/29/2025","Delivered"
"C1694","Female","Senior","Peshawar","9/5/2023","O5694_3","04/30/2023","McDonald's","Pasta","Dessert",5,869.23,"Card",27,"7/24/2025",45,"Inactive",5,"6/29/2025","Delivered"
"C1694","Female","Senior","Peshawar","9/5/2023","O5694_4","12/08/2023","Pizza Hut","Fries","Dessert",3,796.12,"Card",27,"7/24/2025",45,"Inactive",3,"6/29/2025","Cancelled"
"C1694","Female","Senior","Peshawar","9/5/2023","O5694_5","06/08/2023","Burger King","Fries","Dessert",1,1319.07,"Card",27,"7/24/2025",45,"Inactive",5,"6/29/2025","Delivered"
"C4339","Other","Senior","Lahore","12/29/2023","O8339_1",,"Pizza Hut","Sandwich","Dessert",1,1448.67,"Cash",35,"12/21/2024",418,"Inactive",4,"3/6/2025","Cancelled"
"C4339","Other","Senior","Lahore","12/29/2023","O8339_2",,"KFC","Pasta","Dessert",4,293.33,"Cash",35,"12/21/2024",418,"Inactive",1,"3/6/2025","Delayed"
"C4339","Other","Senior","Lahore","12/29/2023","O8339_3",,"KFC","Sandwich","Dessert",2,844.04,"Cash",35,"12/21/2024",418,"Inactive",4,"3/6/2025","Delivered"
"C4339","Other","Senior","Lahore","12/29/2023","O8339_4",,"Subway","Burger","Dessert",2,598.59,"Cash",35,"12/21/2024",418,"Inactive",1,"3/6/2025","Delivered"
"C6543","Other","Adult","Karachi","9/28/2023","O10543_1","10/05/2023","KFC","Burger","Fast Food",1,1293.79,"Cash",45,"10/10/2024",418,"Inactive",1,"6/1/2025","Delayed"
"C6543","Other","Adult","Karachi","9/28/2023","O10543_2","02/16/2024","Subway","Fries","Fast Food",4,512.02,"Cash",45,"10/10/2024",418,"Inactive",4,"6/1/2025","Delayed"
"C6543","Other","Adult","Karachi","9/28/2023","O10543_3","03/09/2024","KFC","Pasta","Fast Food",5,762.42,"Cash",45,"10/10/2024",418,"Inactive",1,"6/1/2025","Delayed"
"C6543","Other","Adult","Karachi","9/28/2023","O10543_4","10/03/2023","McDonald's","Pasta","Fast Food",5,148.41,"Cash",45,"10/10/2024",418,"Inactive",4,"6/1/2025","Cancelled"
"C6423","Male","Adult","Lahore","4/8/2025","O10423_1","12/08/2023","Subway","Sandwich","Continental",4,135.79,"Wallet",31,"5/25/2025",347,"Active",4,"3/4/2025","Cancelled"
"C6423","Male","Adult","Lahore","4/8/2025","O10423_2","12/05/2023","McDonald's","Fries","Continental",5,1063.12,"Wallet",31,"5/25/2025",347,"Active",2,"3/4/2025","Delayed"
"C4621","Male","Adult","Peshawar","2/5/2024","O8621_1","06/15/2023","McDonald's","Sandwich","Chinese",5,961.86,"Cash",14,"5/1/2025",429,"Active",3,"9/30/2024","Delivered"
"C4621","Male","Adult","Peshawar","2/5/2024","O8621_2","09/29/2023","Subway","Fries","Chinese",4,621.78,"Cash",14,"5/1/2025",429,"Active",1,"9/30/2024","Delayed"
"C4621","Male","Adult","Peshawar","2/5/2024","O8621_3","02/04/2023","Subway","Pizza","Chinese",4,1002.84,"Cash",14,"5/1/2025",429,"Active",3,"9/30/2024","Delayed"
"C5146","Other","Senior","Karachi","12/17/2024","O9146_1","08/30/2023","McDonald's","Pizza","Dessert",1,668.48,"Wallet",1,"5/16/2025",24,"Active",3,"10/27/2024","Delayed"
"C5146","Other","Senior","Karachi","12/17/2024","O9146_2","02/15/2023","Burger King","Fries","Dessert",1,733.37,"Wallet",1,"5/16/2025",24,"Active",3,"10/27/2024","Delivered"
"C3579","Male","Adult","Karachi","10/13/2023","O7579_1","12/14/2022","KFC","Pasta","Continental",2,273.41,"Cash",15,"2/23/2025",270,"Inactive",5,"10/11/2024","Cancelled"
"C3579","Male","Adult","Karachi","10/13/2023","O7579_2","01/19/2024","Pizza Hut","Fries","Continental",3,1188.11,"Cash",15,"2/23/2025",270,"Inactive",1,"10/11/2024","Delivered"
"C5535","Male","Adult","Lahore","7/30/2025","O9535_1","06/01/2023","Burger King","Pasta","Continental",2,1154.25,"Cash",32,"4/8/2025",133,"Active",4,"12/5/2024","Delivered"
"C5535","Male","Adult","Lahore","7/30/2025","O9535_2","03/03/2024","Burger King","Fries","Continental",3,613.93,"Cash",32,"4/8/2025",133,"Active",2,"12/5/2024","Delayed"
"C5535","Male","Adult","Lahore","7/30/2025","O9535_3","06/30/2023","Subway","Sandwich","Continental",5,1115.32,"Cash",32,"4/8/2025",133,"Active",2,"12/5/2024","Delivered"
